Instance,PartyOptimized,Strategy,MaxReps,TimeSec,Status,Models,ClingoReturnCode,RawOptValue
instance_066_m4n3k2_clustered_extra32.lp,0,default,1,0.025,OPTIMUM_FOUND,1,30,-1
instance_066_m4n3k2_clustered_extra32.lp,1,default,2,0.010,OPTIMUM_FOUND,1,30,-2
instance_066_m4n4k3_checkerboard_extra32.lp,0,default,3,0.018,OPTIMUM_FOUND,2,30,-3
instance_066_m4n4k3_checkerboard_extra32.lp,1,default,2,0.244,OPTIMUM_FOUND,1,30,-2
instance_067_m10n10k6_random_extra33.lp,0,default,5,300.024,CLINGO_TIMEOUT_INTERRUPT,4+,11,-5
instance_067_m10n10k6_random_extra33.lp,1,default,6,0.172,OPTIMUM_FOUND,3,30,-6
instance_067_m5n4k3_checkerboard_extra33.lp,0,default,3,0.018,OPTIMUM_FOUND,2,30,-3
instance_067_m5n4k3_checkerboard_extra33.lp,1,default,2,2.545,OPTIMUM_FOUND,1,30,-2
instance_068_m4n4k3_clustered_extra34.lp,0,default,2,0.222,OPTIMUM_FOUND,2,30,-2
instance_068_m4n4k3_clustered_extra34.lp,1,default,2,0.461,OPTIMUM_FOUND,1,30,-2
instance_068_m5n4k3_checkerboard_extra34.lp,0,default,3,0.013,OPTIMUM_FOUND,2,30,-3
instance_068_m5n4k3_checkerboard_extra34.lp,1,default,2,2.563,OPTIMUM_FOUND,1,30,-2
instance_069_m10n8k5_clustered_extra35.lp,0,default,4,300.024,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_069_m10n8k5_clustered_extra35.lp,1,default,5,0.095,OPTIMUM_FOUND,2,30,-5
instance_069_m10n8k5_random_extra35.lp,0,default,4,300.022,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_069_m10n8k5_random_extra35.lp,1,default,5,0.078,OPTIMUM_FOUND,2,30,-5
instance_070_m10n8k5_clustered_extra36.lp,0,default,5,0.047,OPTIMUM_FOUND,3,30,-5
instance_070_m10n8k5_clustered_extra36.lp,1,default,4,300.021,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_070_m7n6k4_random_extra36.lp,0,default,3,300.019,CLINGO_TIMEOUT_INTERRUPT,4+,11,-3
instance_070_m7n6k4_random_extra36.lp,1,default,4,0.020,OPTIMUM_FOUND,1,30,-4
instance_071_m4n3k2_random_extra37.lp,0,default,1,0.021,OPTIMUM_FOUND,1,30,-1
instance_071_m4n3k2_random_extra37.lp,1,default,2,0.010,OPTIMUM_FOUND,1,30,-2
instance_071_m5n4k3_random_extra37.lp,0,default,2,1.445,OPTIMUM_FOUND,2,30,-2
instance_071_m5n4k3_random_extra37.lp,1,default,2,3.255,OPTIMUM_FOUND,1,30,-2
instance_072_m4n3k2_checkerboard_extra38.lp,0,default,2,0.011,OPTIMUM_FOUND,2,30,-2
instance_072_m4n3k2_checkerboard_extra38.lp,1,default,1,0.011,OPTIMUM_FOUND,1,30,-1
instance_072_m4n4k3_clustered_extra38.lp,0,default,2,0.107,OPTIMUM_FOUND,2,30,-2
instance_072_m4n4k3_clustered_extra38.lp,1,default,3,0.011,OPTIMUM_FOUND,2,30,-3
instance_073_m10n10k6_random_extra39.lp,0,default,6,0.151,OPTIMUM_FOUND,4,30,-6
instance_073_m10n10k6_random_extra39.lp,1,default,5,300.028,CLINGO_TIMEOUT_INTERRUPT,4+,11,-5
instance_073_m4n4k3_checkerboard_extra39.lp,0,default,3,0.015,OPTIMUM_FOUND,2,30,-3
instance_073_m4n4k3_checkerboard_extra39.lp,1,default,2,0.246,OPTIMUM_FOUND,1,30,-2
instance_074_m6n5k4_clustered_extra40.lp,0,default,4,0.022,OPTIMUM_FOUND,2,30,-4
instance_074_m6n5k4_clustered_extra40.lp,1,default,3,300.014,CLINGO_TIMEOUT_INTERRUPT,1+,11,-3
instance_074_m7n6k4_clustered_extra40.lp,0,default,3,300.017,CLINGO_TIMEOUT_INTERRUPT,2+,11,-3
instance_074_m7n6k4_clustered_extra40.lp,1,default,3,300.014,CLINGO_TIMEOUT_INTERRUPT,3+,11,-3
instance_075_m10n10k6_clustered_extra41.lp,0,default,6,0.274,OPTIMUM_FOUND,4,30,-6
instance_075_m10n10k6_clustered_extra41.lp,1,default,5,300.023,CLINGO_TIMEOUT_INTERRUPT,4+,11,-5
instance_075_m8n8k5_checkerboard_extra41.lp,0,default,5,0.058,OPTIMUM_FOUND,2,30,-5
instance_075_m8n8k5_checkerboard_extra41.lp,1,default,4,300.021,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_076_m3n3k2_checkerboard_extra42.lp,0,default,2,0.017,OPTIMUM_FOUND,2,30,-2
instance_076_m3n3k2_checkerboard_extra42.lp,1,default,1,0.009,OPTIMUM_FOUND,1,30,-1
instance_076_m5n5k3_checkerboard_extra42.lp,0,default,3,0.017,OPTIMUM_FOUND,2,30,-3
instance_076_m5n5k3_checkerboard_extra42.lp,1,default,2,46.491,OPTIMUM_FOUND,1,30,-2
instance_077_m4n3k2_checkerboard_extra43.lp,0,default,2,0.011,OPTIMUM_FOUND,2,30,-2
instance_077_m4n3k2_checkerboard_extra43.lp,1,default,1,0.011,OPTIMUM_FOUND,1,30,-1
instance_077_m8n8k5_checkerboard_extra43.lp,0,default,5,0.049,OPTIMUM_FOUND,2,30,-5
instance_077_m8n8k5_checkerboard_extra43.lp,1,default,4,300.012,CLINGO_TIMEOUT_INTERRUPT,3+,11,-4
instance_078_m4n3k2_checkerboard_extra44.lp,0,default,2,0.012,OPTIMUM_FOUND,2,30,-2
instance_078_m4n3k2_checkerboard_extra44.lp,1,default,1,0.011,OPTIMUM_FOUND,1,30,-1
instance_078_m5n5k3_clustered_extra44.lp,0,default,3,0.019,OPTIMUM_FOUND,2,30,-3
instance_078_m5n5k3_clustered_extra44.lp,1,default,2,1.194,OPTIMUM_FOUND,1,30,-2
instance_079_m5n4k3_clustered_extra45.lp,0,default,3,0.018,OPTIMUM_FOUND,2,30,-3
instance_079_m5n4k3_clustered_extra45.lp,1,default,2,0.597,OPTIMUM_FOUND,1,30,-2
